waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=2.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=2.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=4.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=4.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=5.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=6.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=6.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=7.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=7.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=8.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=8.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=9.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=9.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=1.03e-06) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=1.03e-06) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=1.13e-06) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=1.13e-06) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=1.23e-06) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lp=1.23e-06) Y
29.53953145103953,38.19388687805039,28.8925533338173,39.27157519729281,28.28103731112032,40.08556289717612,27.83459283630649,40.80232463839557,27.51354636326843,41.45528905466927,27.27695887780727,42.05870853719019,27.0973487193582,42.6220712035803,26.95718874377222,43.1526261459521,26.84517325364808,43.65610448160571,26.75381584768472,44.13708863708864,26.6780137682896,44.59926993616674,26.61419088495362,45.04564381632066
29.59440527158892,38.20717835301387,29.04536360693396,39.3044113327447,28.49575136655158,40.12747818739127,28.08320851238706,40.84721942377946,27.78104724610243,41.5007229246646,27.55549855780249,42.10383720965169,27.38267687207901,42.66666572888824,27.2468904358475,43.19667986351926,27.13781067630357,43.69968186778338,27.04849581377691,44.1802688847697,26.97416012999448,44.64212731520073,26.91141945968027,45.08824214940601
29.64219686698524,38.21877331606746,29.18182766373632,39.333975776579,28.69197853850084,40.16645318844484,28.31448220945721,40.89007618167369,28.03317668868155,41.5449517153087,27.82059948372445,42.14838086580737,27.65622920898258,42.71109669423472,27.52618640025301,43.24083946248491,27.42115610624199,43.74352599412245,27.33478806046108,44.22380142225091,27.26265606620397,44.68537107664802,27.201602709509,45.1312261652361
29.68375399624726,38.2288691815615,29.30308054993028,39.36040917704889,28.86991200560919,40.2022464448165,28.5275690067965,40.93030176252702,28.26831574282529,41.58715239004157,28.07013521358269,42.19139062192321,27.91556917090372,42.75435980931734,27.79246372106259,43.28408907420312,27.69250809723791,43.78663545079713,27.60995951373618,44.26671410291867,27.54077340291042,44.72806620726201,27.48204051707436,45.17370162187565
29.71984025581701,38.2376455841914,29.41034464851526,39.38390521984732,29.03014012927244,40.23478115132565,28.72219811199238,40.96753531204922,28.48546439682642,41.62675622635219,28.30256045950731,42.23216598832695,28.15876159505104,42.79567930747019,28.04351339577394,43.32561578292761,27.94946707017531,43.82818487377885,27.87147909493235,44.3081847272683,27.80589147177148,44.76940330578039,27.75005247739907,45.21487765699982
29.75113867844877,38.24526445535864,29.50487131023745,39.40468783038296,29.17354410826707,40.26410181643215,28.89858929210616,41.00160367686638,28.68421346810971,41.66341540644707,28.51695046503839,42.27023720896022,28.38447886098518,42.83450630564295,28.27769738280827,43.36482250265612,28.19015593570956,43.86755032009539,28.11728472009657,44.34757692555225,28.05580400784834,44.80874320756692,28.00331908758366,45.25411866184184
29.77825670934508,38.25187066976213,29.58789683669327,39.42299429420321,29.30120371508721,40.29033756917008,29.05735162256227,41.03247766144165,28.86466817778557,41.69696237559458,28.71296442392995,42.30533275106998,28.59200872199606,42.8704961135148,28.49400016180376,43.4013150960789,28.41331240393546,43.90430545101277,28.34591258380775,44.38444441156759,28.28888155028498,44.8456282952319,28.24007363946582,45.29096171125444
29.80173195882625,38.25759304694996,29.66061102084881,39.43906320862118,29.41431650591859,40.3136725618562,29.19938097061154,41.06023288176087,29.0273490557102,41.72736887804272,28.89076445156008,42.33734113296288,28.78119817965118,42.90347504590537,28.6919997965258,43.43487494840154,28.61828711818412,43.9381999056866,28.55652107484877,44.41851484411293,28.50411934769493,44.87977139273119,28.45917217085764,45.32510999813567
29.82203829372765,38.26254555244331,29.72413610847239,39.45312624170277,29.51413240280532,40.33432303822624,29.32576620765172,41.08501686179137,29.17308833505492,41.75470869506606,29.0509147866408,42.36627314215906,28.95236270241309,42.93340430151486,28.87179080521403,43.46542559573131,28.80498168010616,43.96912912757018,28.74884424825328,44.44966294520645,28.70110590903357,44.91103208282075,28.66007638740002,45.35641216682163
29.83959195849428,38.266828588767,29.77951404696734,39.46540280443971,29.60190334296026,40.35252020673399,29.43770923073038,41.10702267272872,29.3029332450205,41.77912598131152,29.1942784178431,42.39222788238623,29.10618274773532,42.960345643213,29.03388452605434,43.49299916228274,28.97375508896504,43.99710216901104,28.92310549221616,44.47787996993044,28.87994439172872,44.93938795492552,28.84278286724521,45.38483534490597
