waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=5.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=6.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=6.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=7.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=7.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=8.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=8.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=9.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=9.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.03e-06) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.03e-06) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.13e-06) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.13e-06) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.23e-06) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.23e-06) Y
1.483691532465135,16732114115.71046,1.290607304242014,6059813805.372992,1.220970354194333,3099874966.576335,1.184480988098839,1879254785.443066,1.161892284692673,1260272331.062947,1.146496064572539,903663811.4034249,1.135318963074437,679582918.8132641,1.126834154491372,529624629.29487,1.120174770626454,424353642.6561177,1.114811191041285,347622816.036045,1.110401178843393,289972487.4702529,1.106713554585771,245561714.7353001
1.512150159742205,16815604345.61884,1.313172558321863,6097130086.918534,1.241628048085423,3119748084.817427,1.204184926423303,1891386286.228729,1.181021391847938,1268402971.40714,1.165240147431581,909479082.6681446,1.153786958295217,683943458.8398117,1.145094489366571,533013318.5272252,1.138273289543266,427061631.5268629,1.132780133923937,349835829.0807344,1.12826409223818,291814473.8922958,1.124488165921193,247118512.5269024
1.541610068213746,16899129602.69172,1.336447889973208,6134831101.724185,1.262907920619114,3139919248.436415,1.224468476841817,1903718397.177073,1.200704928674252,1276672158.631874,1.184521998091032,915394217.9703959,1.172780877119374,688378825.6964121,1.163871896765655,536459914.893506,1.156882018367608,429815640.0723997,1.151253813150286,352086226.8363118,1.146627277403446,293687392.6954455,1.142759340665731,248701303.8544339
1.572121504984567,16982636850.07495,1.360465683652976,6172894697.208028,1.284837214346234,3160387007.43021,1.245356460783101,1916253790.765702,1.220966308149247,1285082915.209502,1.204364107997448,921411861.2212619,1.192322561124934,692891212.5187391,1.183187735521236,539966222.9101279,1.176021943375113,432617161.1285456,1.170252918949392,354375256.2790216,1.165511183825999,295592296.6272101,1.161547328844662,250310986.7802783
1.603737860248313,17066070960.42521,1.385260249713819,6211295823.882307,1.307444737621825,3181148509.383023,1.266875098709555,1928994617.770414,1.241830246455281,1293638078.932973,1.224790209651719,927534602.6064553,1.212435049399788,697482811.745944,1.20306452979031,543534067.9858372,1.19571519142437,435467716.5719185,1.189799262535407,356704195.6119109,1.1849373660828,297530269.1811514,1.1808734724331,251948488.484937
1.636515871727185,17149373993.47458,1.410867961190288,6250006516.293981,1.330760973966611,3202199338.27636,1.289052106566186,1941942406.282585,1.26332285200822,1302340246.966315,1.245825360836765,933764946.9210432,1.233142659414132,702155796.4519995,1.22352604745242,547165284.9921355,1.215985106456902,438368850.1047658,1.209915851106598,359074349.6056192,1.204928557624476,299502421.5464011,1.200760278135956,253614763.2586344
1.670515835856684,17232484275.90705,1.437327400976666,6288995909.82805,1.354818200000194,3223533351.870812,1.311916799815124,1955097951.172088,1.285471721482719,1311191712.108559,1.267496035454178,940105276.4701747,1.254471074228711,706912297.9361548,1.24459738464117,550861704.2096946,1.236856331974677,441322118.1565436,1.230626968698449,361487043.5577386,1.225508750312775,301509888.5179253,1.221231495839109,255310789.6951109
1.705801823382208,17315335257.2202,1.464679520031986,6328230293.414459,1.379650612603033,3245142521.041304,1.335500205669848,1968461194.402188,1.308306043413346,1320194390.821093,1.289830221523665,946557807.9768995,1.276447436573603,711754379.0861565,1.266305056929183,554625134.264798,1.258354900003729,444329078.5968215,1.251958263390096,363943615.6221541,1.24670328020359,303553823.1689948,1.242312203217014,257037566.9271943
1.742441896061709,17397854111.42249,1.492967807214787,6367673195.98131,1.405294465990748,3267016774.963036,1.359835184180784,1982031096.983178,1.331856709991537,1329349742.696843,1.312857526940532,953124542.9608996,1.299100450373929,716684003.0103804,1.288677097728164,558457341.633072,1.280508327093813,447391276.9177336,1.27393684140456,366445407.2373852,1.268538920108192,305635390.0666759,1.264028897022849,258796109.7253189
1.780508319937987,17479960049.76202,1.522238471286025,6407285501.918355,1.43178821940236,3289143856.452044,1.384956558858663,1995805503.795269,1.356156437718221,1338658681.229477,1.336609293628437,959807211.0985686,1.322460490341575,721702996.428248,1.311743164508754,562360026.2640364,1.303345717947217,450510229.5149296,1.296591368686382,368993751.348576,1.291043979508381,307755756.7801758,1.286409591630277,260587442.2528519
1.820077769109782,17561562304.29012,1.552540635512149,6447025587.929819,1.459172696109215,3311509191.994728,1.410901257551495,2009781003.007654,1.381239897609719,1348121475.978067,1.36111872076578,966607206.1560777,1.346559720294968,726813007.3197813,1.33553465348874,566334792.8629265,1.326897877314149,453687403.6689017,1.31995218058488,371589958.0900097,1.314248412446075,309916083.4048595,1.30948392544077,262412590.2471019
1.861231512049227,17642557736.17675,1.583926545137186,6486849470.564691,1.487491254438128,3334095780.979815,1.43770846431203,2023952782.350971,1.407143855687828,1357737646.521047,1.386420997803101,973525514.209924,1.371432220910788,732015456.3704309,1.36008482348169,570383117.3621329,1.351197430836745,456924193.8080053,1.34405140031653,374235297.5684769,1.338183934053536,312117509.7972336,1.333283275816508,264272571.3685212
1.904055570251185,17722828016.77934,1.616451787753773,6526710950.537465,1.516789971463006,3356884108.295425,1.465419783000906,2038314485.034245,1.433907324511104,1367505848.953748,1.412553448023285,980562634.0405605,1.397114127650612,737311481.8128873,1.385428929639977,574506308.1281306,1.37627895556738,460221893.6237858,1.36892306692485,376930979.3665892,1.36288414643624,314361140.1911806,1.357840883245243,266168383.4350781
1.948640836347392,17802236324.29214,1.650175526264511,6566561736.81974,1.547117839944039,3379852083.698183,1.494079413360457,2052858068.592446,1.46157172651907,1377423756.100593,1.439555683423313,987718489.8098493,1.423643779639157,742701877.3700924,1.411604367864086,578705461.4864806,1.402179120927741,463581663.612448,1.394603273498919,379678128.3720393,1.388384674664578,316648024.8452293,1.383191985488819,268100990.2354702
