waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=5.3e-07) Y
0.9268193322414718,18363052152.84575,1.023388315732742,9315484061.798233,1.059409686736568,5592257207.3217,1.07874476072859,3721155281.232894,1.090948021902052,2651134577.054351,1.099396915627662,1982963984.781289,1.105609789005706,1538244890.594769,1.110377091626172,1227552348.142707,1.114153394459008,1002062836.753201,1.11721969382226,833296293.2583232,1.119759499955279,703737207.2986418
0.9451712835254178,18563731142.30873,1.043844816955961,9414935553.534735,1.080592659583852,5652935801.510583,1.100303798942821,3762442148.959179,1.112740185001508,2681138071.642641,1.121348939204615,2005763696.168885,1.127678722645812,1556148815.134224,1.132535436254362,1241974270.954612,1.136382414307296,1013920073.2316,1.139506020401181,843210784.09675,1.142093248238141,712145661.9550171
0.9640786587522615,18766851260.86114,1.064932944921911,9515355807.371691,1.102432879112471,5714158602.543488,1.122533146604853,3804112647.129241,1.135210698761086,2711446392.874021,1.143984811261618,2028819040.272283,1.150435521440235,1574272366.592134,1.155384717785984,1256587234.258853,1.159304800165275,1025944792.349941,1.162487683918224,853273000.1335033,1.165123965684202,720685112.2937932
0.9835649367988029,18972438162.34565,1.086680244129979,9616746499.918259,1.124959283957704,5775917923.186693,1.145462455139992,3846156053.490643,1.158389653533121,2742049212.416142,1.167334922262093,2052121377.504518,1.173910795144983,1592608807.841269,1.178955713732033,1271386197.775302,1.182951462261055,1038133335.3102,1.18619570234437,863480360.1064233,1.188882759548006,729353799.5031245
1.003654863169181,19180516292.55559,1.1091158101544,9719109121.085564,1.148202465173129,5838206205.152332,1.169123080612542,3888561493.52956,1.182308876496418,2772935697.862346,1.191431421486252,2075661339.962304,1.198136928383878,1611150582.180736,1.20328098873867,1286365299.608535,1.207355107656681,1050481268.547537,1.210662898355193,873829576.8790146,1.213402548309971,738149334.2568399
1.024374528390441,19391108587.05347,1.13227039228726,9822444812.092796,1.172194777792801,5901015998.058439,1.193548199869225,3931318010.854082,1.207002050596572,2804094604.80372,1.216308337863603,2099428905.559474,1.223148202850513,1629889357.605008,1.228395017828486,1301517872.46965,1.232550364306446,1062983378.203841,1.235924024049277,884316636.7427734,1.238718186939822,747068666.2737306
1.045751451116642,19604236123.85324,1.156176503318032,9926754174.875982,1.196970460453797,5964339911.028326,1.21877293521281,3974414621.04064,1.232504842298057,2835514366.707288,1.242001709804294,2123413480.253521,1.248980928642135,1648816084.087934,1.254334318873295,1316836473.970802,1.258573914424179,1075633677.604272,1.26201589503753,894936789.7399273,1.264866601581632,756108062.6966144
1.06781466603136,19819917723.09561,1.180868536804596,10032037050.17116,1.222565763538334,6028170534.374881,1.244834488116522,4017840344.528811,1.258855038688222,2867183177.753275,1.268549724587995,2147603984.640577,1.275673585296925,1667921061.804642,1.281137594879093,1332312930.390534,1.285464637746888,1088425428.199227,1.288977534496113,905684552.1308591,1.291886934257479,765263096.7653843
1.090594816572495,20038169484.35393,1.206382892152221,10138292260.86386,1.249019086268046,6092500328.860957,1.271772282468708,4061584214.31332,1.28609269445483,2899089063.512529,1.295992867852242,2171988940.491192,1.3032669730902,1687194017.326492,1.308845886648383,1347938392.452602,1.313263765267301,1101351173.728379,1.316850327761038,916553721.6103002,1.31982069817213,774528647.9149232
1.114124252416342,20259004250.47426,1.232758107757952,10245517316.35308,1.276371123136271,6157321479.951913,1.299628117796117,4105635254.391606,1.314260289220605,2931219934.227432,1.324374083685393,2196556552.224826,1.331804375109105,1706624183.972744,1.337502736349582,1363703400.750091,1.342015043972345,1114402786.538832,1.345678188007189,927537405.206771,1.348711944165918,783898913.9298406
1.13843713154252,20482430984.82231,1.26003500238984,10353708072.63953,1.30466501998917,6222625714.246322,1.328446332844802,4149982425.133697,1.343402895651504,2963563615.479931,1.353738945763858,2221294777.903134,1.361331730560442,1726200381.738283,1.367154362458478,1379597957.530246,1.371764913060018,1127571524.083659,1.375507733489704,938628059.0007728,1.3786074387981,793367435.1369978
