waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=1.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=1.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=1.02e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=1.02e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=1.12e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=1.12e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=2.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=2.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=3.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=3.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=4.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=4.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=5.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=5.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=6.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=6.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=7.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=7.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=8.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=8.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=9.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Lnmos=9.2e-07) Y
27.85295358159633,36.92814225635409,27.84230719802438,102.6490198588052,27.76732108027629,104.3922357107253,28.06288190925046,56.2245485269784,28.1550865073257,80.99904922698214,28.18293558428542,90.64868838379167,28.16710531902229,93.6723760370819,28.12334972825586,95.58840556576291,28.06272935438897,97.36769062623206,27.99267990692206,99.13366532618178,27.91812723726171,100.8951723072146
27.84910552662746,36.92360858780393,27.73518465670761,102.3952516120191,27.65136051666251,104.1162972952575,28.04229184236723,56.19055100404145,28.12159528650109,80.92762251426403,28.13866349804766,90.54802108865563,28.11217442612396,93.54574866485416,28.05754428121298,95.43570749430882,27.98601739728844,97.18868109526461,27.90530445153592,98.92868754950757,27.82056254235739,100.6651390302604
27.84468586208332,36.91840161763277,27.61607456733809,102.1161967175922,27.52298211639876,103.8146140531905,28.01870560721986,56.15164662361568,28.08335127957103,80.84627559686308,28.08825928387472,90.43384628821283,28.04983762259549,93.40274185607917,27.98313728441013,95.26406734213018,27.89962023541741,96.98849368810417,27.8073071389497,98.7007022808687,27.71160681766805,100.4107249889268
27.83961035790025,36.91242218028568,27.48436369961736,101.8118342798478,27.38172752020317,103.4878356094477,27.99170801895393,56.10716884304228,28.03974031636174,80.75380063948994,28.03098306418791,90.30468748702499,27.9792689013755,93.24177797425241,27.8992571422631,95.07194045627159,27.80266570628179,96.76575860507972,27.69786122132871,98.44865923648976,27.59052160328152,100.1313353307103
27.8337825896916,36.90555676978253,27.33963361188624,101.4830967020809,27.22739279915428,103.1378069214698,27.96083297887076,56.05637400570119,27.9900880131056,80.6488986372119,27.96604035148327,90.15901896657957,27.89960447204965,93.06131045256237,27.80502316344175,94.85793267205207,27.69431251689378,96.51941480462231,27.57622004866823,98.17200902815861,27.456704188623,99.82709402652968
27.82709224296885,36.89767555088127,27.18173597269426,101.1321894555822,27.06011064303023,102.7679281193336,27.92555935937112,55.99843686368794,27.9336601534367,80.53019252042883,27.89258966057125,89.99530760242976,27.80995985513939,92.85990131889464,27.69957418234879,94.62092114500973,27.57379159232488,96.24888005801185,27.44177117892555,97.8709251318146,27.3097533611196,99.49911683255435
27.8194132039692,36.88863012183643,27.01087568857921,100.762960302441,26.88043645776561,102.383556414121,27.8853072872857,55.93244748851804,27.86966558511864,80.3962494077352,27.80975497388792,89.81207309171883,27.70945420409013,92.63632651244454,27.58210654836405,94.36021221584254,27.44045826456847,95.95426603493505,27.29410171985684,97.54657630188971,27.14954541391238,99.14983640863284
27.81060141763861,36.87825100682103,26.82769638816957,100.3813071375186,26.68943017565457,101.9924306970635,27.83943514628464,55.85741031707363,27.79726250867917,80.24561494514816,27.71664432290196,89.60797144057092,27.59724324415813,92.3897149680619,27.45192260151897,94.07574235439465,27.2938556210948,95.63664304336093,27.13307383157551,97.20145080410789,26.97631738564859,98.78337577422268
27.80049249414543,36.86634485737511,26.63335922561991,99.99560250028564,26.48872131259703,101.6050853417181,27.78723771875131,55.77224630435265,27.71556919454688,80.07686327155758,27.61237583696274,89.38190717310624,27.47256207247242,92.11972755844909,27.30849018216297,93.76832723600042,27.13378814307289,95.29835627338713,26.95890736476114,96.83972865913843,26.79075172040958,98.40595823883261
27.78889904736215,36.8526913451001,26.42960157302459,99.61709811581041,26.28053996396223,101.2352022489526,27.72794600427155,55.6757994209994,27.6236803078722,79.88866675386063,27.49611258830499,89.1331801041879,27.33477866005806,91.82678143508494,27.15151270209767,93.43996172983333,26.9604029250347,94.94339059985832,26.77226384684284,96.46769015118493,26.59405287529271,98.02633056937572
