waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=5.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=6.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=6.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=7.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=7.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=8.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=8.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=9.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=9.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.03e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.03e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.13e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.13e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.23e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.23e-06) Y
22.69083902974889,16.96738415860746,18.62105074862488,46.66025640556139,16.24780075043202,72.19331493512394,14.58230688266857,77.14837134650644,13.26824646948977,76.08787106486491,12.19787919698424,73.73232046978386,11.32480575572287,71.08402815414001,10.61322737316031,68.44868231244121,10.03153690447611,65.9522225193747,9.553015245009732,63.64515439958519,9.156123353059019,61.54024272667417,8.823971517256147,59.63170885009322
23.02194939239185,17.02245785266728,19.43119219648442,46.53442471096543,17.18085308149546,73.96672254655191,15.50420875952093,80.20023790752289,14.1450160577372,79.83517420148831,13.01943197507308,77.93515406483306,12.09075628643328,75.60305454185519,11.3276101445743,73.18894864250775,10.70000672671836,70.84813657840135,10.1814222149562,68.65193867365016,9.749881294794529,66.62754590243871,9.387839560302092,64.77894674489431
23.33253582564773,17.08930599192757,20.18021255986677,46.18946425027278,18.09770532401105,75.24550679742778,16.43853432798229,82.76884490541113,15.05134236488695,83.17648521287053,13.88052212809384,81.81723833663118,12.9016039634056,79.88078455387699,12.08936280122272,77.75737069490128,11.41659213663127,75.63115947572078,10.85769982641711,73.59536099026788,10.39072428394972,71.6931510318764,9.997734777320975,69.93982039809354
23.6289042381692,17.16939178009369,20.85853909609607,45.66346311242678,18.98277993888387,76.02085125221085,17.37201701581181,84.80147233222451,15.97731963295546,86.03717084153601,14.77433633402409,85.29319513272931,13.75303824778656,83.82753698101644,12.89608239328189,82.06371029732719,12.18030312574279,80.2124865124963,11.58189268015996,78.3889435294119,11.07945296695963,76.65316333357006,10.65501197557869,75.03293310674185
23.91551938221063,17.26285151545725,21.46024791370083,44.9998289912667,19.82070100552372,76.30704016225525,18.28990868937352,86.26779772033494,16.91096792689095,88.35990535078368,15.69191456705006,88.28965717586851,14.63876250794133,87.36106779005303,13.74362243170384,86.02152489096483,12.98865769231583,84.50434077253119,12.35278350906313,82.94518779027156,11.81580531602205,81.42117098057861,11.36013129486505,79.97328080886656
24.19500618491775,17.36866894331788,21.98361747955688,44.24416901571127,20.59737010847333,76.14017866460439,19.17664939395616,87.16194978160586,17.83852134727872,90.10842723905189,16.62217549667504,90.74980526856936,15.55036131384757,90.41134257738879,14.62587535952758,89.55286332767713,13.83742529048909,88.42443754050274,13.16762425886008,87.17975194389489,12.59818997381187,85.91213626770713,12.1124013142552,84.67588667441731
24.46838348381647,17.48494406103418,22.43127048313717,43.44133167281645,21.30110237230921,75.57518611027928,20.01675457854429,87.50267005934774,18.74493529529082,91.26975033304453,17.55211541337373,92.6367718550223,16.47728923163271,92.92455358994668,15.53463205800358,92.59251741502662,14.72041336022555,91.90024211470488,14.02188571504294,91.01559286037475,13.42342094062035,90.0463688296278,12.90971165719125,89.05959410256821
24.73543242645848,17.60920195814976,22.80984541250093,42.63285802332211,21.9236895601246,74.6814473191418,20.79587274135815,87.33165507371845,19.61462063198337,91.85470666774205,18.46721363899607,93.93566380656812,17.40702170956063,94.86606088724434,16.45955795090738,95.09147517951267,15.629331899674,94.87266098023203,14.90905505284969,94.38672316604354,14.28647758701818,93.75324947151839,13.74827432121259,93.05070704479189
24.99510811734678,17.73869345201471,23.12921385219774,41.85499267832162,22.46123358796325,73.53761593831911,21.5019260676723,86.71031948148654,20.43238402602972,91.89687277851189,19.35206219805659,94.65412433278888,18.32540325025503,96.22208526760983,17.38832606038931,97.01934377006938,16.55377536945038,97.2989010563136,15.82051681621241,97.24130430678811,15.18032084141592,96.97442458419872,14.62239994592656,96.58620391874156
25.24592557913078,17.8706533872583,23.40134316592817,41.1373186834142,22.91459540894279,72.22610237840502,22.12620687761359,85.71533505804977,21.18451728007167,91.45006021222044,20.19121354432506,94.82149130577372,19.21721534957112,97.0001189258066,18.30694273894417,98.3656407393707,17.48136185254698,99.15434916847391,16.74555666257535,99.54389852791313,16.09580203362935,99.66627827508457,15.52434176536142,99.61632605575191
