waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.02e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.02e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.12e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.12e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=2.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=2.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=3.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=3.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=4.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=4.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=5.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=5.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=6.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=6.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=7.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=7.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=8.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=8.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=9.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=9.2e-07) Y
27.85295358159633,161296.5947458793,27.84230719802438,1934133.313187418,27.76732108027629,1996080.944692242,28.06288190925046,942582.7745002252,28.1550865073257,1098768.872014355,28.18293558428542,1210731.312403161,28.16710531902229,1340293.076195881,28.12334972825586,1479447.25695974,28.06272935438897,1616801.774925434,27.99267990692206,1742328.354342057,27.91812723726171,1849259.836383946
27.84910552662746,213422.9334090813,27.73518465670761,2534815.405718031,27.65136051666251,2607962.095766597,28.04229184236723,1249589.87989715,28.12159528650109,1457624.166621487,28.13866349804766,1605926.59521917,28.11217442612396,1776275.022046553,28.05754428121298,1957890.708173789,27.98601739728844,2135576.548152185,27.90530445153592,2296073.212407057,27.82056254235739,2430586.68107408
27.84468586208332,282367.3364477782,27.61607456733809,3308477.890401472,27.52298211639876,3391087.544771257,28.01870560721986,1655930.967635194,28.08335127957103,1932358.632433708,28.08825928387472,2128042.858631942,28.04983762259549,2350978.534014625,27.98313728441013,2586576.840277843,27.89962023541741,2814542.512921531,27.8073071389497,3017381.168361242,27.71160681766805,3183758.243899628
27.83961035790025,373543.9967188397,27.48436369961736,4296928.320861581,27.38172752020317,4383878.806326952,27.99170801895393,2193407.204700406,28.03974031636174,2559681.110808511,28.03098306418791,2816689.549890971,27.9792689013755,3106773.889032193,27.8992571422631,3410073.261094908,27.80266570628179,3699463.383719964,27.69786122132871,3951946.184089991,27.59052160328152,4153097.508940951
27.8337825896916,494104.4977791012,27.33963361188624,5547457.726696108,27.22739279915428,5628061.031637733,27.96083297887076,2903821.865664995,27.9900880131056,3387536.341919981,27.96604035148327,3723176.601438755,27.89960447204965,4097931.740178635,27.80502316344175,4484604.879915273,27.69431251689378,4846948.550717322,27.57622004866823,5154919.904644486,27.456704188623,5390533.774863945
27.82709224296885,653492.6073728338,27.18173597269426,7110950.747394771,27.06011064303023,7166068.435662751,27.92555935937112,3842029.552719543,27.9336601534367,4478320.035340728,27.89258966057125,4913579.367338034,27.80995985513939,5393334.033708685,27.69957418234879,5880145.079594041,27.57379159232488,6325662.651191344,27.44177117892555,6691064.515792293,27.3097533611196,6954669.800380329
27.8194132039692,864174.8582586176,27.01087568857921,9038530.117964501,26.88043645776561,9037239.348072162,27.8853072872857,5079861.423945576,27.86966558511864,5912881.53226489,27.80975497388792,6472365.282939752,27.70945420409013,7079403.383962773,27.58210654836405,7682268.215518453,27.44045826456847,8216789.029856735,27.29410171985684,8633714.032240206,27.14954541391238,8908392.192193046
27.81060141763861,1142601.910976218,26.82769638816957,11376826.86910631,26.68943017565457,11273381.1776437,27.83943514628464,6711147.384470033,27.79726250867917,7795424.509487703,27.71664432290196,8506525.147245122,27.59724324415813,9262983.394157892,27.45192260151897,9993284.323568061,27.2938556210948,10613137.78584894,27.13307383157551,11061972.99941716,26.97631738564859,11314699.9599184
27.80049249414543,1510472.531902834,26.63335922561991,14162746.37031142,26.48872131259703,13895189.08434528,27.78723771875131,8858093.336179126,27.71556919454688,10259373.88328219,27.61237583696274,11150016.59729032,27.47256207247242,12073686.99901722,27.30849018216297,12931950.31139523,27.13378814307289,13616181.73719084,26.95890736476114,14055736.84938168,26.79075172040958,14230918.27567317
27.78889904736215,1996393.821391914,26.42960157302459,17419721.45467442,26.28053996396223,16911920.20556839,27.72794600427155,11679302.3724476,27.6236803078722,13474183.48861243,27.49611258830499,14568109.27023785,27.33477866005806,15664947.70714948,27.15151270209767,16630863.20710121,26.9604029250347,17330426.14283688,26.77226384684284,17688697.77874988,26.59405287529271,17702445.90511513
