waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=1.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=1.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=2.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=2.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=2.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=2.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=2.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=2.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=3.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=3.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=4.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=4.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=4.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=4.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=4.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=4.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / VAR("Wn"))) (Ln=5.3e-07) Y
1.041064588286497,721.2986904993187,1.098468878857122,582.9133679145376,1.122775923402652,491.246121366856,1.14262020281941,424.2051873576697,1.160108795229391,373.0594770878392,1.175302561886024,332.8159897973884,1.188383928662553,300.3565896411482,1.199640272591273,273.6376352865865,1.209364838857955,251.2679579765427,1.217816396781556,232.2697255692204,1.225196391335659,215.9377647204545
1.061698691432602,714.6202718859043,1.122250427770548,577.2894077588655,1.147351805991939,486.4459670679984,1.167382377418881,420.0144535658123,1.184951595738209,369.3356701602895,1.200215710378336,329.4627701550709,1.21336838492743,297.3055774672501,1.224695098729017,270.8382420919339,1.234486746547441,248.6815396468586,1.243000842013016,229.8660146586623,1.250441799249386,213.6922502249799
1.082778783526538,707.8320221855481,1.146745692106169,571.5615405604358,1.172792362058731,481.5545642830077,1.193067580702091,415.7443023878344,1.210739317364742,365.5419612579837,1.226083112808178,326.0472035670829,1.239311886223721,294.1983111599107,1.250711940929827,267.9876019795382,1.260572811423992,246.0480607871554,1.269133386331066,227.420441250279,1.276653819509765,211.4063509408429
1.104308302904855,700.9352159753414,1.171963376223462,565.7299399185155,1.199120603658889,476.5715278974018,1.219708713163152,411.3942337361118,1.237509976124154,361.6778737864321,1.252945398903671,322.5688684885282,1.266256494730494,291.0344235930855,1.27773371372479,265.0853947651023,1.287666495656983,243.3672402781924,1.296297462742465,224.9290621924714,1.303876677039828,209.07983166192
1.126291687280439,693.9312966539542,1.19791157016532,559.7949637274224,1.226357921792807,471.4967530385848,1.247338829683482,406.9638214259963,1.265302499403713,357.7429841094212,1.280844600962801,319.0273851089763,1.294245982335431,287.8135830340331,1.305805239605564,262.1313316284019,1.315792646062755,240.6408072916408,1.3245164074399,222.3937903903025,1.332156788159828,206.7124837554634
1.1487345618195,686.8218665325875,1.224597911281405,553.7571593530685,1.254528270601332,466.329629070881,1.275990949999345,402.4527224106857,1.29415659532679,353.7369270102574,1.309824085486009,315.4224190984021,1.323325811553717,284.535495843402,1.334973266084419,259.1251571575382,1.34504476366494,237.8641024599586,1.353838526556465,219.8144150819273,1.361542839665691,204.3041260728535
1.171643921974678,679.6086758511161,1.252029790556669,547.6172674666906,1.28364945841995,461.0706417434183,1.305697858534224,397.8606857522074,1.324112591612783,349.6594019463556,1.339928454603367,311.7536859851077,1.353543090362204,281.1999096677965,1.365286461161689,256.0666517821247,1.37544640390498,235.0394909242141,1.384314357460126,217.1907571706092,1.392085856225977,201.8546060821084
1.195028308798163,672.2936108896349,1.280214603187179,541.3762243311081,1.31374169659972,455.7197911878831,1.336491891841624,393.1875624315142,1.355211242589336,345.5101801701557,1.371203413015697,308.0209562554259,1.384946495657676,277.8066172107106,1.396777662367153,252.957365203404,1.407049526440509,232.1667982570535,1.415996699482877,214.5226708580298,1.423839251377198,199.3638012789994
1.218897975018175,664.8786813625418,1.309160041245002,535.0351623654801,1.344823264723242,450.2773996067678,1.368404720613997,388.4333159554067,1.38749350434479,341.2891127764844,1.403695596487468,304.224061264536,1.417586159723531,274.3554606725498,1.429538669426534,249.7932794913679,1.439908159813956,229.2458899952075,1.448940619317203,211.8100456767287,1.456858856410723,196.8316209397949
1.243265040790646,657.3660072930062,1.338871491106012,528.5960411812426,1.37691140594458,444.7439617828729,1.401467135696655,383.5980336751983,1.421000279872778,336.9961397166485,1.437452358662686,300.3629000431147,1.45149502044136,270.8482287005273,1.463601100373546,246.5765414187787,1.474078340939371,226.2766746166246,1.483203424100142,209.0528089987895,1.491202920354926,194.2580082851111
