waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=5.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=6.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=6.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=7.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=7.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=8.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=8.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=9.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=9.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.03e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.03e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.13e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.13e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.23e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.23e-06) Y
1.161683260742146,33827501981.06591,0.891622633580648,13887197843.07409,0.779795234868833,7149441950.987506,0.7407013298420375,4452741044.351169,0.7182762592581983,3060575657.500342,0.7012650162004042,2237160215.755363,0.6871788372662644,1707787308.269105,0.6752194839363882,1346919377.642775,0.6649724959524529,1089783115.322639,0.6561422155123897,900050217.4640139,0.6484929606377723,756028916.2512788,0.6418321304929702,644108840.0584918
1.18445234781345,34119695617.12737,0.9168436012555117,14175326641.15785,0.8014786197649211,7302865212.98317,0.7605625223726008,4545396969.71629,0.7372164525592967,3123349321.819661,0.7195992190579126,2282747951.891469,0.7050568370441017,1742487496.069707,0.69273330554172,1374257767.405224,0.6821871115314116,1111899972.824599,0.673106695032257,918324093.9316506,0.6652456852427046,771389452.3327966,0.658403768634847,657206509.2745932
1.207661348598952,34405435255.98121,0.9426737602679077,14464527028.33068,0.8238401885061031,7458976530.64203,0.7810122495650654,4639626850.060694,0.7566927890682428,3187125649.569755,0.7384365225306567,2329030090.463226,0.7234142993844226,1777696756.43773,0.7107084160541717,1401984968.663288,0.6998484666928715,1134323202.065793,0.690505967238893,936845418.902825,0.6824232158084438,786953901.5096207,0.675391749191929,670475040.7885536
1.23133876145387,34684889591.16654,0.9691147192777188,14754350702.75894,0.8469058872097761,7617780309.826384,0.802074904315786,4735458258.444654,0.7767266533431124,3251923153.50543,0.7577962643640546,2376018948.787044,0.742269123270043,1813423619.899606,0.7291616385251063,1430107103.146244,0.717972543600642,1157057325.978722,0.7083553368854882,955617615.9440421,0.7000402992699708,802724908.8560951,0.6928103519714391,683916514.4943299
1.255515036489354,34958244216.44826,0.996167807698597,15044329422.95037,0.870702329581058,7779270270.708671,0.8237761556934722,4832917900.674749,0.7973405926147218,3317760516.885161,0.7776988129515539,2423727119.227898,0.7616401386989824,1849676866.054801,0.7481106524012013,1458630497.776177,0.7365761232837509,1180107032.399579,0.7266708619766199,974644240.6068255,0.7181123988087601,818705225.4830766,0.7106745424448571,697533096.0726575
1.280222743954718,35225702318.50114,1.023834314882084,15333978846.84094,0.8952567251787811,7943427646.919412,0.8461430117870283,4932031217.984536,0.8185583931697322,3384656487.867089,0.7981656374595711,2472167436.278945,0.7815471696935228,1886465515.203156,0.7675740507244379,1487561685.708073,0.7556768382629363,1203477178.746219,0.7454694027650056,993928986.3154687,0.7366557399220085,834897714.5902292,0.7290000154171333,711327042.7658417
1.305496768094684,35487485512.21256,1.052115760630447,15622802778.03373,0.9205967930380654,8110219233.305035,0.8692038820507133,5032821913.987615,0.8404051616587743,3452629747.277043,0.8192193834080452,2521352931.907109,0.8020111024142472,1923798814.144539,0.7875714019952755,1516907404.345775,0.7752932294499578,1227172795.093929,0.7647686746976695,1013475689.430897,0.7556873601759574,851305357.1266302,0.7478032421611543,725300709.0077522
1.331374529570895,35743834827.67705,1.08101419322997,15910297735.80922,0.9467506607152573,8279595299.179697,0.8929886380970976,5135311395.887283,0.8629074114398454,3521698745.269641,0.840883954111116,2571296776.893429,0.8230539588266682,1961686214.875483,0.8081233171295854,1546674589.539879,0.7954448077213457,1251199085.166593,0.7845873056845953,1033288333.167751,0.7752251629911243,867931256.847435,0.7671015213436789,739456551.7643814
1.35789623999015,35995011861.71232,1.110532510498452,16195957755.41636,0.9737467495371679,8451487393.80127,0.917528671653646,5239518119.452077,0.8860931539985899,3591881501.888313,0.863184598393288,2622012205.592283,0.8446989764025562,2000137344.686482,0.829251521980145,1576870365.060106,0.8161521206085141,1275561424.64496,0.8049448981015904,1053371049.986349,0.7952879758439489,884778644.5025476,0.7869130341036616,753797135.4056069
1.385105192605558,36241300110.07027,1.140674798921721,16479279319.28305,1.001613647748515,8625806082.316793,0.9428569481399377,5345456827.044223,0.909991995394793,3663195366.010581,0.8861480050003842,2673512421.200713,0.8669706943726965,2039161965.946358,0.8509789359364142,1607502026.266632,0.8374368245900813,1300265356.105145,0.8258620959817333,1073728121.985272,0.8158956133099068,901850880.8474178,0.8072569036823305,768325135.8834782
