waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=5.3e-07) Y
1.041064588286497,59195831929.03751,1.098468878857122,38734724291.30425,1.122775923402652,27090487423.71653,1.14262020281941,20035577681.04082,1.160108795229391,15437852294.40341,1.175302561886024,12266675496.49285,1.188383928662553,9983402182.041208,1.199640272591273,8283418953.190324,1.209364838857955,6983143449.443825,1.217816396781556,5966230507.064312,1.225196391335659,5155865320.009466
1.061698691432602,59827185889.27326,1.122250427770548,39212475523.72952,1.147351805991939,27435219917.3828,1.167382377418881,20289604257.95352,1.184951595738209,15632040998.1629,1.200215710378336,12420042684.22887,1.21336838492743,10107743151.69306,1.224695098729017,8386356761.090723,1.234486746547441,7069819141.034019,1.243000842013016,6040242858.410865,1.250441799249386,5219822984.674113
1.082778783526538,60452999396.29872,1.146745692106169,39692059534.55782,1.172792362058731,27783987109.76228,1.193067580702091,20547361415.67572,1.210739317364742,15829269297.79537,1.226083112808178,12575859130.44275,1.239311886223721,10234088428.88787,1.250711940929827,8490967930.372245,1.260572811423992,7157918183.480749,1.269133386331066,6115434780.837894,1.276653819509765,5284855927.799396
1.104308302904855,61072334015.0755,1.171963376223462,40172600752.92558,1.199120603658889,28136348453.48294,1.219708713163152,20808640300.0032,1.237509976124154,16029420680.02168,1.252945398903671,12734046350.9022,1.266256494730494,10362377669.03342,1.27773371372479,8597202539.704596,1.287666495656983,7247397760.78345,1.296297462742465,6191882490.477915,1.303876677039828,5350931663.557116
1.126291687280439,61684299530.07385,1.19791157016532,40653178155.91748,1.226357921792807,28491794606.51339,1.247338829683482,21073195078.46455,1.265302499403713,16232356302.03867,1.280844600962801,12894511456.83797,1.294245982335431,10492540325.69063,1.305805239605564,8705002803.582367,1.315792646062755,7338142731.195253,1.3245164074399,6269477347.83249,1.332156788159828,5418012702.578551
1.1487345618195,62288062163.9772,1.224597911281405,41132833159.57072,1.254528270601332,28849801228.9991,1.275990949999345,21340739269.31413,1.29415659532679,16437912205.25863,1.309824085486009,13057145298.29058,1.323325811553717,10624494442.00872,1.334973266084419,8814302276.427511,1.34504476366494,7430244423.020016,1.353838526556465,6348170962.647784,1.361542839665691,5486056278.199354
1.171643921974678,62882851656.84661,1.252029790556669,41610578779.48466,1.28364945841995,29209717326.34388,1.305697858534224,21610942160.25949,1.324112591612783,16645896279.25631,1.339928454603367,13221820345.86754,1.353543090362204,10758145229.30193,1.365286461161689,8925024896.560324,1.37544640390498,7523553698.594604,1.384314357460126,6427908459.324489,1.392085856225977,5555014017.17688
1.195028308798163,63467967075.0412,1.280214603187179,42085409886.31564,1.31374169659972,29570876600.97761,1.336491891841624,21883425381.10505,1.355211242589336,16856085010.0892,1.371203413015697,13388388302.23223,1.384946495657676,10893383409.6494,1.396777662367153,9037021681.449465,1.407049526440509,7617998760.959139,1.415996699482877,6508627920.039424,1.423839251377198,5624831534.887807
1.218897975018175,64042781265.36551,1.309160041245002,42556314317.68413,1.344823264723242,29932543609.35373,1.368404720613997,22157759792.87817,1.38749350434479,17068220070.09165,1.403695596487468,13556677446.19737,1.417586159723531,11030083304.20693,1.429538669426534,9150333337.649994,1.439908159813956,7713498296.152576,1.448940619317203,6590259698.631077,1.456858856410723,5695447932.661734
1.243265040790646,64606743917.28692,1.338871491106012,43022239414.97638,1.37691140594458,30293928073.22012,1.401467135696655,22433462886.04935,1.421000279872778,17282004833.85176,1.437452358662686,13726489728.07621,1.45149502044136,11168026538.30796,1.463601100373546,9264766392.269493,1.474078340939371,7809960327.703036,1.483203424100142,6672725579.71513,1.491202920354926,5766795173.222653
