waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=5.3e-07) Y
1.041064588286497,1.313518118467414,1.098468878857122,1.198733316116301,1.122775923402652,1.086336993925335,1.14262020281941,1.028669838015965,1.160108795229391,0.9981423578303955,1.175302561886024,0.9805984010751145,1.188383928662553,0.9697239518492863,1.199640272591273,0.9625497485413597,1.209364838857955,0.9575712692816967,1.217816396781556,0.95397140530518,1.225196391335659,0.951261229782115
1.061698691432602,1.370353627471371,1.122250427770548,1.253378562923246,1.147351805991939,1.132427758510958,1.167382377418881,1.069408860646384,1.184951595738209,1.035738123763158,1.200215710378336,1.016244026954426,1.21336838492743,1.004078009764123,1.224695098729017,0.9959982686321275,1.234486746547441,0.9903546490359412,1.243000842013016,0.9862475284367896,1.250441799249386,0.9831424649813185
1.082778783526538,1.430082903770634,1.146745692106169,1.311813473740351,1.172792362058731,1.181871486801098,1.193067580702091,1.113063639595818,1.210739317364742,1.075955061250089,1.226083112808178,1.0543175708943,1.239311886223721,1.040728749734527,1.250711940929827,1.031650415735658,1.260572811423992,1.025272994752605,1.269133386331066,1.020582565040176,1.276653819509765,1.01706436482653
1.104308302904855,1.492796845289698,1.171963376223462,1.374312719451401,1.199120603658889,1.234963506535395,1.219708713163152,1.15990452160171,1.237509976124154,1.119037909487625,1.252945398903671,1.095044335861537,1.266256494730494,1.079887352861304,1.27773371372479,1.06970699623504,1.287666495656983,1.062519305038649,1.296297462742465,1.057215681900796,1.303876677039828,1.053209237398006
1.126291687280439,1.558581422670533,1.19791157016532,1.441166174025153,1.226357921792807,1.292024024878636,1.247338829683482,1.210230498938577,1.265302499403713,1.165258916593066,1.280844600962801,1.138675545905325,1.294245982335431,1.121789509010688,1.305805239605564,1.110392180120664,1.315792646062755,1.102279408761511,1.3245164074399,1.096326146233396,1.332156788159828,1.091780513106951
1.1487345618195,1.62751689502349,1.224597911281405,1.512678774685569,1.254528270601332,1.353409239457823,1.275990949999345,1.264372202527435,1.29415659532679,1.214921174697959,1.309824085486009,1.185491707918778,1.323325811553717,1.166698708492183,1.334973266084419,1.153956700763627,1.34504476366494,1.144859453940818,1.353838526556465,1.138147528187786,1.361542839665691,1.133005707779806
1.171643921974678,1.699677054755264,1.252029790556669,1.589170218405381,1.28364945841995,1.419494857476655,1.305697858534224,1.322695140238926,1.324112591612783,1.26836233202329,1.339928454603367,1.235806415464038,1.353543090362204,1.214910001835747,1.365286461161689,1.200681530969278,1.37544640390498,1.190493092588912,1.384314357460126,1.182941643702536,1.392085856225977,1.177139854801832
1.195028308798163,1.775128514742106,1.280214603187179,1.67097448591097,1.31374169659972,1.490696364668109,1.336491891841624,1.385603162647636,1.355211242589336,1.32595870830248,1.371203413015697,1.289970643915413,1.384946495657676,1.266754290440997,1.396777662367153,1.250853394011893,1.407049526440509,1.239483914781973,1.415996699482877,1.231002610923079,1.423839251377198,1.224469485269754
1.218897975018175,1.85393005053395,1.309160041245002,1.758439188310463,1.344823264723242,1.567461604575302,1.368404720613997,1.453542140979544,1.38749350434479,1.388129836092596,1.403695596487468,1.348377587691043,1.417586159723531,1.322603216591117,1.429538669426534,1.304890103650661,1.439908159813956,1.292173559779643,1.448940619317203,1.28266154717809,1.456858856410723,1.275317248179655
1.243265040790646,1.936132009324981,1.338871491106012,1.851915320275577,1.37691140594458,1.650274291700685,1.401467135696655,1.527003832448829,1.421000279872778,1.455343444526904,1.437452358662686,1.411468090307924,1.45149502044136,1.382841237624287,1.463601100373546,1.363155975111397,1.474078340939371,1.348947227254039,1.483203424100142,1.338292009553841,1.491202920354926,1.330047277522642
