waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=1.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=1.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=1.02e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=1.02e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=1.12e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=1.12e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=2.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=2.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=3.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=3.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=4.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=4.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=5.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=5.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=6.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=6.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=7.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=7.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=8.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=8.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=9.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "id") / VAR("Wnmos"))) (Lnmos=9.2e-07) Y
27.85295358159633,3.693810118335499e-05,27.84230719802438,0.00115910768551577,27.76732108027629,0.001286697424080114,28.06288190925046,0.000251550305566711,28.1550865073257,0.0003366643792208459,28.18293558428542,0.0004194514597136313,28.16710531902229,0.0005185379310284247,28.12334972825586,0.0006329323900023771,28.06272935438897,0.0007589144087996618,27.99267990692206,0.0008916454208161702,27.91812723726171,0.001026384839949648
27.84910552662746,4.880117109600658e-05,27.73518465670761,0.001530428294253795,27.65136051666251,0.001697543679118798,28.04229184236723,0.0003330095595344411,28.12159528650109,0.0004460690033826321,28.13866349804766,0.000555884546141833,28.11217442612396,0.0006870557361884928,28.05754428121298,0.0008382152164276289,27.98601739728844,0.001004394792100456,27.90530445153592,0.001179171036956898,27.82056254235739,0.001356279613238239
27.84468586208332,6.447153297014709e-05,27.61607456733809,0.002018418316017474,27.52298211639876,0.002236840987006445,28.01870560721986,0.0004407504518552388,28.08335127957103,0.0005908147972155425,28.08825928387472,0.0007363463891321036,28.04983762259549,0.0009098065440595256,27.98313728441013,0.001109301508685741,27.89962023541741,0.00132819620887729,27.8073071389497,0.001557970391561166,27.71160681766805,0.001790358780768464
27.83961035790025,8.516970903840438e-05,27.48436369961736,0.002658672915542717,27.38172752020317,0.002943498986252954,27.99170801895393,0.000583202194475502,28.03974031636174,0.0007822096495031725,28.03098306418791,0.0009748688089031793,27.9792689013755,0.001203976052542753,27.8992571422631,0.001466899192004651,27.80266570628179,0.001754778035442041,27.69786122132871,0.002056323444445921,27.59052160328152,0.00236065013611471
27.8337825896916,0.000112506779070134,27.33963361188624,0.003497183882109717,27.22739279915428,0.003867682573578575,27.96083297887076,0.0007714717762145403,27.9900880131056,0.001035124793247658,27.96604035148327,0.001289867471767891,27.89960447204965,0.001592064768582756,27.80502316344175,0.001938047792324743,27.69431251689378,0.002315989667861662,27.57622004866823,0.002710953727513126,27.456704188623,0.003108635876664953
27.82709224296885,0.0001486089889228378,27.18173597269426,0.004593194886107346,27.06011064303023,0.005073869065885692,27.92555935937112,0.001020181618405269,27.9336601534367,0.00136909056886866,27.89258966057125,0.001705468885371484,27.80995985513939,0.002103469824636731,27.69957418234879,0.002557969688426199,27.57379159232488,0.003053193374541617,27.44177117892555,0.003569413652029684,27.3097533611196,0.004087883430705102
27.8194132039692,0.0001962819271291141,27.01087568857921,0.006022783340114525,26.88043645776561,0.006644678835928531,27.8853072872857,0.001348562767088017,27.86966558511864,0.001809716094355141,27.80975497388792,0.002253219298944665,27.70945420409013,0.002776510046510159,27.58210654836405,0.003372426731712103,27.44045826456847,0.004019952962191594,27.29410171985684,0.004693092873626764,27.14954541391238,0.005367352884726761
27.81060141763861,0.0002592267371381472,26.82769638816957,0.007883344385088377,26.68943017565457,0.008685670056334527,27.83943514628464,0.001781878398560088,27.79726250867917,0.002390522566043153,27.71664432290196,0.002974276821594811,27.59724324415813,0.003661007330080633,27.45192260151897,0.00444070691287396,27.2938556210948,0.005285424597644186,27.13307383157551,0.006160998174633799,26.97631738564859,0.007035542457090897
27.80049249414543,0.0003423247118768601,26.63335922561991,0.01029919947863118,26.48872131259703,0.01133134243956392,27.78723771875131,0.00235327278587957,27.71556919454688,0.003155302163968357,27.61237583696274,0.003922211613956175,27.47256207247242,0.004821562487163616,27.30849018216297,0.005839392970594162,27.13378814307289,0.006938616431747298,26.95890736476114,0.008074487976647929,26.79075172040958,0.009205673749255039
27.78889904736215,0.0004520116781202018,26.42960157302459,0.01342861588746923,26.28053996396223,0.01475266877995511,27.72794600427155,0.003106166103663817,27.6236803078722,0.004161141300491012,27.49611258830499,0.005166567020107466,27.33477866005806,0.006341693725367057,27.15151270209767,0.007667098079990773,26.9604029250347,0.0090937219443523,26.77226384684284,0.0105631898848191,26.59405287529271,0.01202217252308088
